type	time	latitude	longitude	altitude (m)	name	desc
T	2018-10-11 13:19:43	40.099217000	-88.213981000	226.6	ARISense Ride 1	
T	2018-10-11 13:19:50	40.099317000	-88.213997000	226.7		
T	2018-10-11 13:20:06	40.099368000	-88.213991000	226.7		
T	2018-10-11 13:20:32	40.099381000	-88.213957000	226.7		
T	2018-10-11 13:20:44	40.099349000	-88.213947000	226.7		
T	2018-10-11 13:20:53	40.099325000	-88.213966000	226.7		
T	2018-10-11 13:20:55	40.099293000	-88.213968000	226.8		
T	2018-10-11 13:20:57	40.099260000	-88.213969000	226.8		
T	2018-10-11 13:20:59	40.099230000	-88.213976000	226.8		
T	2018-10-11 13:21:00	40.099203000	-88.213981000	226.8		
T	2018-10-11 13:21:01	40.099172000	-88.213984000	226.8		
T	2018-10-11 13:21:02	40.099140000	-88.213993000	226.9		
T	2018-10-11 13:21:03	40.099110000	-88.214013000	226.9		
T	2018-10-11 13:21:04	40.099088000	-88.214037000	226.9		
T	2018-10-11 13:21:06	40.099064000	-88.214095000	227.0		
T	2018-10-11 13:21:07	40.099054000	-88.214132000	226.9		
T	2018-10-11 13:21:08	40.099049000	-88.214170000	226.9		
T	2018-10-11 13:21:10	40.099053000	-88.214243000	226.8		
T	2018-10-11 13:21:11	40.099058000	-88.214291000	226.7		
T	2018-10-11 13:21:12	40.099063000	-88.214350000	226.6		
T	2018-10-11 13:21:13	40.099068000	-88.214419000	226.5		
T	2018-10-11 13:21:14	40.099067000	-88.214488000	226.4		
T	2018-10-11 13:21:15	40.099065000	-88.214556000	226.2		
T	2018-10-11 13:21:16	40.099055000	-88.214625000	226.1		
T	2018-10-11 13:21:17	40.099054000	-88.214693000	225.9		
T	2018-10-11 13:21:18	40.099054000	-88.214753000	225.9		
T	2018-10-11 13:21:19	40.099054000	-88.214809000	225.8		
T	2018-10-11 13:21:20	40.099057000	-88.214866000	225.8		
T	2018-10-11 13:21:21	40.099059000	-88.214923000	225.7		
T	2018-10-11 13:21:22	40.099069000	-88.214975000	225.7		
T	2018-10-11 13:21:24	40.099076000	-88.215058000	225.7		
T	2018-10-11 13:21:25	40.099058000	-88.215106000	225.7		
T	2018-10-11 13:21:26	40.099057000	-88.215160000	225.7		
T	2018-10-11 13:21:27	40.099060000	-88.215215000	225.7		
T	2018-10-11 13:21:28	40.099062000	-88.215274000	225.7		
T	2018-10-11 13:21:29	40.099062000	-88.215335000	225.7		
T	2018-10-11 13:21:30	40.099063000	-88.215383000	225.7		
T	2018-10-11 13:21:31	40.099062000	-88.215427000	225.7		
T	2018-10-11 13:21:32	40.099064000	-88.215473000	225.7		
T	2018-10-11 13:21:33	40.099064000	-88.215529000	225.7		
T	2018-10-11 13:21:34	40.099064000	-88.215589000	225.8		
T	2018-10-11 13:21:35	40.099064000	-88.215642000	225.8		
T	2018-10-11 13:21:36	40.099065000	-88.215691000	225.8		
T	2018-10-11 13:21:37	40.099066000	-88.215742000	225.8		
T	2018-10-11 13:21:38	40.099069000	-88.215790000	225.9		
T	2018-10-11 13:21:39	40.099071000	-88.215837000	225.9		
T	2018-10-11 13:21:40	40.099073000	-88.215887000	225.9		
T	2018-10-11 13:21:41	40.099074000	-88.215936000	225.9		
